kp,force_N,defl_l2_rad,q_delta_from_contact_rad,q_delta_from_home_rad,q0,q1,q2,q3,q4,q5,q6,q7,ctrl0,ctrl1,ctrl2,ctrl3,ctrl4,ctrl5,ctrl6,ctrl7
12.0,9.002607413435543,1.2401216625831988,0.6030065661148405,0.6059797585601321,-0.13217578058887428,-1.4736679677094142,-0.0022846090596380484,0.9641475527516558,-0.1811242950806313,-0.00047298118322870335,1.275940218345688,0.5996017590090629,-0.12637441808242447,-1.4800646614134276,0.5617550170881016,0.9804689824466712,-0.17596568706010027,1.10319831598272,1.3112634100769764,0.607045164137711
24.0,0.5662428594403937,0.004974989965080487,0.005682936841597655,0.11086300861353546,-0.0893347634235177,-1.5761699745427327,0.055445266543915316,0.7959532609395964,-0.17558126163334892,0.3675752905719129,0.8668277400202354,0.4656671154410889,-0.0889893155958734,-1.5787439940380297,0.055435352857029004,0.7959904034886548,-0.17238079920609922,0.36962122770575,0.8685621741622739,0.4664201469422898
24.0,0.9934172842385638,0.006383465470158812,0.007108814311929044,0.1119999896145906,-0.08942760830594532,-1.575934211356012,0.05687264583336532,0.7964725751020794,-0.17555019652061987,0.3679820390921983,0.8668738487322484,0.4655424717205215,-0.08909592710486548,-1.578462589097085,0.05687923022650925,0.7965164830864438,-0.17239102227032166,0.3717131775772623,0.8698246301582283,0.466821168854444
24.0,1.42685368093055,0.008105335626013385,0.008666811010535121,0.11319056730662301,-0.08951115212048524,-1.5756735456589235,0.05837225050015843,0.7970046137054979,-0.17545206125288557,0.36841139688578706,0.866894592198257,0.46539673065831777,-0.08920253861385755,-1.5781811841561402,0.05832310759598949,0.7970425626842328,-0.1724012453345441,0.3738051274487746,0.8710870861541827,0.46722219076659827
24.0,2.0132486299029995,0.010689822077271675,0.010756912696470812,0.11474657291569519,-0.08969210408741354,-1.5752453110508142,0.06031132237837087,0.7977208488577631,-0.17526577647370437,0.36895923737969455,0.866891299391049,0.4651871664607104,-0.08934468729251363,-1.577805977568214,0.060248277421963155,0.7977440021479515,-0.17241487608684067,0.37659439394412425,0.8727703608154554,0.46775688664947057
24.0,2.4219797339182394,0.02272137011869825,0.018008377002773003,0.1188885640701233,-0.09019286535503111,-1.573951182361552,0.06701450445713712,0.8001659335285077,-0.17517737458672628,0.3653176039162323,0.8715846863716504,0.466534556191067,-0.08984220766780994,-1.576492754510472,0.06698637181287097,0.800199040270967,-0.17246258371987871,0.3863568266778482,0.8786618221299096,0.4696283222395237
24.0,2.9122056540695866,0.028731275451484153,0.02043146072462253,0.11974430580197275,-0.09040705087338145,-1.573374533826565,0.0683899780253387,0.8004757237753929,-0.1752481073719123,0.3631809882323023,0.8740995475422605,0.4673321040546781,-0.09005543068579407,-1.5759299446285828,0.06987412655183145,0.801251199466545,-0.1724830298483236,0.39054072642087273,0.8811867341218186,0.4704303660638322
24.0,3.514152025921298,0.03395722539818123,0.022175488355932197,0.12013173075306709,-0.09058489990464519,-1.57289463121855,0.06893456739995223,0.8004400666242015,-0.17526906934112194,0.36139585817802167,0.8762007036694776,0.46800201693228766,-0.09023311653411419,-1.575460936393675,0.07228058883429853,0.8021279987961933,-0.1725000682886943,0.3940273095400599,0.8832908274484094,0.47109873591742263
24.0,4.000783653610898,0.038227372441706535,0.023718507008760683,0.12047247956873834,-0.09070037045955938,-1.5725805986352976,0.06935833036445327,0.8004047126128127,-0.17527768303478183,0.35996389545094754,0.8778869092054752,0.46853733819581095,-0.09037526521277027,-1.5750857298057488,0.0742057586602722,0.802829438259912,-0.1725136990409909,0.39681657603540954,0.884974102109682,0.47163343180029493
24.0,4.590958750555645,0.04379069309394756,0.02598830165147006,0.1209866554449002,-0.09095668602062588,-1.5719179441834923,0.06986349721785255,0.8003502752118071,-0.17531201430208848,0.35801378662558203,0.8801409219462998,0.4692821407751487,-0.09055295106109038,-1.5746167215708409,0.07661222094273927,0.8037062375895604,-0.1725307374813616,0.4003031591545967,0.8870781954362728,0.47230180165388536
